codigo_postal,nombre_entidad_singular,municipio_id,nombre
42153,VILVIESTRE DE LOS NABOS,42160,"Royo, El"
42155,MOLINOS DE DUERO,42117,Molinos de Duero
42156,SALDUERO,42161,Salduero
42157,COVALEDA,42069,Covaleda
42158,DURUELO DE LA SIERRA,42078,Duruelo de la Sierra
42159,LANGOSTO,42160,"Royo, El"
42160,ALMARZA,42019,Almarza
42161,VENTOSA DE LA SIERRA,42027,Arévalo de la Sierra
42162,TARDESILLAS,42094,Garray
42163,SANTERVAS DE LA SIERRA,42094,Garray
42164,TERA,42019,Almarza
42165,VILLAR DEL ALA,42207,Villar del Ala
42166,SOTILLO DEL RINCON,42174,Sotillo del Rincón
42167,MATUTE DE LA SIERRA,42019,Almarza
42169,POVEDA DE SORIA (LA),42141,"Póveda de Soria, La"
42170,PORTELRUBIO,42089,Fuentelsaz de Soria
42171,RUBIA (LA),42211,"Villares de Soria, Los"
42172,VEGA (LA),42218,Yanguas
42173,VIZMANOS,42216,Vizmanos
42174,MONTAVES,42209,Villar del Río
42175,CASTILLEJO DE SAN PEDRO,42196,Valdeprado
42176,CUESTA (LA),42209,Villar del Río
42177,YANGUAS,42218,Yanguas
42180,VILLARES DE SORIA (LOS),42211,"Villares de Soria, Los"
42181,VALTAJEROS,42198,Valtajeros
42182,CORTOS,42024,Arancón
42189,VELILLA DE LA SIERRA,42201,Velilla de la Sierra
42190,CASAS (LAS),42173,Soria
42191,TARDAJOS DE DUERO,42149,"Rábanos, Los"
42192,VILLACIERVOS,42205,Villaciervos
42193,BOOS,42195,Valdenebro
42194,TORREBLACOS,42185,Torreblacos
42195,TORRALBA DEL BURGO,42043,Burgo de Osma-Ciudad de Osma
42196,VALDENEBRO,42195,Valdenebro
42200,TEJERIZAS,42020,Almazán
42210,CIADUEÑA,42030,Barca
42211,SANTA MARIA DEL PRADO,42111,Matamala de Almazán
42212,COBERTELADA,42020,Almazán
42213,BARAONA,42029,Baraona
42214,VILLASAYAS,42212,Villasayas
42215,TORREMEDIANA,42083,Frechilla de Almazán
42216,TARODA,42182,Taroda
42217,COSCURITA,42068,Coscurita
